type,id,lat,lon,brand,shop,city,street,housenumber,postcode,opening_hours
node,9020119833,46.2102876,7.257795,Volg,supermarket,Ardon,Rue des Grands-Proz,2b,1957,Mo-Fr 06:00-18:30; Sa 06:00-17:00
node,9028829933,46.2252165,7.326543,Denner,supermarket,Sion,Rue de Savoie,63,1950,Mo-Th 07:30-18:30; Fr 07:30-20:00; Sa 07:30-17:00
node,9037951213,46.2236438,7.302606,Migros,supermarket,Conthey,Route des Rottes,15,1964,Mo-Th 08:00-18:30; Fr 08:00-21:00; Sa 08:00-17:00
node,9040336565,47.4773426,8.6992966,Migros,supermarket,Winterthur,Ziegeleiplatz,2,8406,Mo-Fr 07:30-20:00; Sa 08:00-19:00
node,9040336566,47.4774267,8.6993803,Denner,supermarket,Winterthur,Ziegeleiplatz,2,8406,Mo-Fr 07:30-20:00; Sa 08:00-18:00
node,9040799789,46.2287926,7.3555512,Migros,supermarket,Sion,Avenue de France,14-20,1950,"Mo-Th 08:00-18:30; Fr 08:00-20:00; Sa 08:00-17:00; Su, PH off"
node,9056954858,47.0999003,6.8272492,Denner,supermarket,La Chaux-de-Fonds,Rue Daniel-Jean Richard,23,2300,Mo-Fr 08:00-19:00; Sa 08:00-18:00
node,9108173452,46.2965708,7.3966845,Coop,supermarket,Anzère,Route Nord,1,1972,Mo-Su 08:00-19:00
node,9110247063,46.2280572,7.3784558,Migros,supermarket,Sion,Route du Manège,2,1950,"Mo-Fr 09:00-18:30; Sa 08:00-17:00; Su, PH off"
node,9110247064,46.2313877,7.3840997,Migros,supermarket,Sion,Avenue Grand-Champsec,30,1950,"Mo-Th 07:30-18:30; Fr 07:30-20:00; Sa 07:30-17:00; Su, PH off"
node,9124792210,47.1121596,6.8347663999999995,Migros,supermarket,La Chaux-de-Fonds,Rue de la Charrière,71,2300,"Mo-We,Fr 07:30-19:00; Th 07:30-20:00; Sa 07:30-18:00"
node,9124792211,47.1119253,6.8343372,Denner,supermarket,La Chaux-de-Fonds,Rue de la Charrière,65,2300,Mo-Fr 07:30-19:00; Th 07:30-20:00; Sa 07:30-18:00
node,9137127450,46.2018237,7.2230699,Migros,supermarket,Chamoson,Chemin Neuf,2,1955,"Mo-Fr 08:00-12:00,14:00-18:00; Sa 08:00-17:00"
node,9138298011,46.2228589,7.3045263,Lidl,supermarket,Conthey,Route des Rottes,38,1964,Mo-Th 07:30-18:30; Fr 07:30-21:00; Sa 07:30-17:00
node,9149840075,46.3041156,7.5375261,Volg,supermarket,Veyras,Avenue St-François,6,3968,Mo-Fr 06:00-18:30; Sa 06:00-17:00
node,9176645019,47.4837163,7.7367076,Coop,supermarket,Liestal,Büchelistrasse,10,4410,Mo-Sa 08:00-19:00
node,9238986216,47.2283683,8.8201853,Lidl,supermarket,Rapperswil-Jona,Obere Bahnhofstrasse,58,8640,Mo-Fr 07:30-20:00; Sa 07:30-18:00
node,9272941755,46.2423838,7.3397305,Coop,supermarket,Savièse,Route de Savièse,43,1965,Mo-Th 07:30-18:30; Fr 07:30-19:30; Sa 07:30-17:00
node,9280034075,46.1724671,7.222089,Denner,supermarket,Riddes,Rue du Village,16,1908,"Mo-Th 07:30-12:15,13:30-18:30; Fr 07:30-12:15,13:30-19:00; Sa 07:30-17:00; Su 07:30-12:15,13:30-18:30"
node,9299600732,46.1486723,7.1728465,Migros,supermarket,Saxon,Rue de Gottefrey,38,1907,Mo-Fr 07:00-18:30; Sa 07:00-17:00
node,9300641539,47.2288463,8.6743166,ZWIBOL,supermarket,Wädenswil,Seestrasse,105,8820,"Mo off; Tu, We, Fr 09:00-16:00; Th 09:00-20:00; Sa 08:00-16:00"
node,9310797413,47.4537232,9.0394738,Denner,supermarket,Wilen bei Wil,Weidstrasse,4,9535,Mo-Fr 07:30-20:00; Sa 07:30-18:00
node,9342792098,46.2846196,7.5164486,Lidl,supermarket,Sierre,Route de Sion,81;83,3960,Mo-Th 07:30-18:30; Fr 07:30-21:00; Sa 07:30-17:00
node,9424019831,46.4406577,6.8933361,Migros,supermarket,Clarens,Rue du Léman,9,1815,Mo-Th 08:00-19:00; Fr 08:00-20:00; Sa 08:00-17:00
node,9439075211,47.1698895,7.9910333,Denner,supermarket,Schötz,Luzernerstrasse,11,6247,"Mo-Fr 08:00-12:15,13:30-18:30; Sa 08:00-16:00; Su,PH off"
node,9439167467,47.1307981,8.0006117,Lidl,supermarket,Willisau,Wydematt,1,6130,Mo-Th 07:30-19:00; Fr 07:30-21:00; Sa 07:30-17:00; PH off
node,9514259433,46.8802655,7.6139056,Landi,supermarket,Konolfingen,Haldenweg,5,3510,Mo-Fr 08:00-18:30; Sa 08:00-17:00
node,9524025385,47.3037001,8.0237319,Volg,supermarket,Uerkheim,Dorfstrasse,58,4813,Mo-Sa 06:00-20:00
node,9584570723,46.8815292,8.6159751,Volg,supermarket,Seedorf UR,Dorfstrasse,49,6462,Mo-Fr 06:00-18:30; Sa 06:00-17:00
node,9624205242,47.5496452,8.618708999999999,Volg,supermarket,Buch am Irchel,Hauptstrasse,55,8414,Mo-Fr 07:00-19:00; Sa 07:00-16:00
node,9861379435,47.0945184,6.8167917,Coop,supermarket,La Chaux-de-Fonds,Avenue Léopold-Robert,151,2300,Mo-We 08:00-19:00; Th 08:00-20:00; Fr 08:00-19:00; Sa 08:00-18:00
node,9895305607,47.0826359,8.1270954,Coop,supermarket,Ruswil,Hellbühlerstrasse,8,6017,Mo-Th 08:00-19:00; Fr 08:00-20:00; Sa 07:30-17:00
node,9912766560,46.6390933,6.6358519000000005,Denner,supermarket,Echallens,Rue de Praz-Palud,2,1040,Lu-Ve 07:30-19:00; Sa 07:30-18:00
node,9950926547,47.3924041,9.569855,Volg,supermarket,Marbach SG,Staatsstrasse,17,9437,Mo-Fr 06:00-21:00; Sa 07:00-19:00; Su off
node,9974889755,47.5353752,8.7870901,Landi,supermarket,Rickenbach Sulz,Stationsstrasse,1,8545,Mo-Fr 08:00-18:30; Sa 08:00-17:00; PH off
node,9985258254,47.5108858,8.7596576,ALDI,supermarket,Winterthur,Guggenbühlstrasse,6,8404,Mo-Sa 07:30-20:00
node,10052066326,46.6609459,6.7954840999999995,Lidl,supermarket,Moudon,Chemin du Devin,17,1510,Mo-Th 07:30-19:00; Fr 07:30-20:00; Sa 07:30-17:00
node,10121859748,46.5224791,6.5291632,Denner,supermarket,Préverenges,Zone Industrielle Le Trési,1,1028,"Mo-Th 08:00-19:00; Fr 08:00-20:00; Sa 08:00-18:00; PH,Su off"
node,10173850897,46.2221407,7.297392,Landi,supermarket,Conthey,Route des Rottes,3,1964,Mo-Th 08:30-18:30; Fr 08:30-20:00; Sa 08:30-17:00
node,10177846013,47.3862897,9.2839541,Denner,supermarket,Herisau,Gartenstrasse,2,9100,Mo-Th 07:30-19:00; Fr 07:30-20:00; Sa 07:30-18:00; Su off
node,10201681880,46.5282129,6.5673552,Denner,supermarket,Chavannes-près-Renens,Route de la Maladière,6,1022,Mo-Fr 08:00-19:00; Sa 08:00-18:00
node,10237639011,46.9279317,9.5358044,Volg,supermarket,Untervaz,Quadergasse,6,7204,Mo-Sa 06:00-20:00
node,10245408227,46.5214986,6.6128069,Denner,supermarket,Lausanne,Chemin de la Colline,4,1007,Mo-Fr 07:30-19:00; Sa 07:30-18:00
node,10253712057,47.3863448,8.1249064,Denner,supermarket,Hunzenschwil,Hauptstrasse,11,5502,Mo-Sa 07:00-20:00; Su off
node,10301038396,46.9413577,7.4658141,Migros,supermarket,Bern,Thunstrasse,110,3006,Mo-Fr 08:00-19:00; Sa 08:00-17:00
node,10303495270,47.4223971,9.370943,Alnatura,supermarket,St. Gallen,St. Leonhard-Strasse,33,9001,Mo-Fr 07:00-20:00; Sa 08:00-18:00
node,10314410558,47.3142708,8.7949454,Migros,supermarket,Wetzikon,Hofstrasse,47,8620,Mo-Fr 08:00-20:00; Sa 08:00-19:00
node,10557654804,47.1981276,8.109064,Volg,supermarket,Geuensee,Chäppelimatt,8,6232,Mo-Fr 06:00-19:00; Sa 07:00-17:00; PH off
node,10711459945,47.3699617,8.5091748,Coop,supermarket,Zürich,Birmensdorferstrasse,310,8055,Mo-Sa 07:00-21:00; PH off
node,10786799087,47.1641239,9.4725125,Migros,supermarket,Buchs,Churerstrasse,10,9470,"Mo-Tu,Th 08:00-19:00, We,Fr 08:00-20:00, Sa 08:00-17:00; PH off"
node,10787882859,46.6237528,7.0573013,Migros,supermarket,Bulle,Rue Château d'En-Bas,2,1630,"Mo-Th 08:00-19:00, Fr 08:00-21:00, Sa 08:00-16:00; PH off"
node,10814018168,47.3542123,8.4367367,Migros,supermarket,Birmensdorf (ZH),Zürcherstrasse,15,8903,"Mo-Fr 08:00-20:00, Sa 08:00-18:00; PH off"
node,10814018169,47.3538566,8.4367165,Coop,supermarket,Birmensdorf (ZH),Zürcherstrasse,9,8903,Mo-Fr 08:00-20:00; Sa 8:00 - 18:00
node,10982669725,47.349781899999996,8.25869,ALDI,supermarket,Villmergen,Grenzweg,3,5612,Mo-Sa 07:30-20:00
node,11025130806,47.0593006,7.6206969,Denner,supermarket,Burgdorf,Lyssachstrasse,27,3400,Mo-We 08:00-19:00; Th 08:00-20:00; Fr 08:00-21:00; Sa 07:30-17:00; PH off
node,11049758254,47.3383269,8.520261,Spar,supermarket,Zürich,Spinnereiplatz,4,8041,Mo-Sa 07:00 - 22:00
