web-scraper-order,web-scraper-start-url,is_eventgruppe,day,name,full_date,location
"1699912011-535","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","13","Weihnachtsbasteln mit Andréa","Mittwoch, 13. Dezember, 16:00","PBZ Hardau, Zürich (CH)"
"1699912011-536","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","13 - 28","Geschichtenstunde rund um Krishna","3 Events","Smaragd, Zürich (CH)"
"1699912011-537","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","13","Laternenführung «Weihnachten & Krippen»","Mittwoch, 13. Dezember, 17:15","Schweizerisches Nationalmuseum Landesmuseum Zürich, Zürich (CH)"
"1699912011-538","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","13","Christmas Dinner for Freelance Makeup Artists","Mittwoch, 13. Dezember, 18:00","Café BEBEK, Zürich (CH)"
"1699912011-539","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","13","La Grande Bellezza","Mittwoch, 13. Dezember, 18:00","Arthouse Alba, Zürich (CH)"
"1699912011-540","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","26","Workshop Diskriminierungssensibilisierung","8 Events","Studio Kali, Zürich (CH)"
"1699912011-541","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","13","Master of Cheese","Mittwoch, 13. Dezember, 18:30","Mühlerama, Zürich (CH)"
"1699912011-542","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","13","Nachts alleine im Museum","Mittwoch, 13. Dezember, 18:30","Schweizerisches Nationalmuseum Landesmuseum Zürich, Zürich (CH)"
"1699912011-543","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","13","Re:vision – Filme neu sehen","Mittwoch, 13. Dezember, 18:30","Filmpodium Kino, Zürich (CH)"
"1699912011-544","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","27","Jazz Night","4 Events","Castellan´s Mediterranean Eatery, Zürich (CH)"
"1699912011-545","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","13","Die Zeit bleibt nicht stehen","Mittwoch, 13. Dezember, 18:30","Kunsthaus Zürich, Zürich (CH)"
"1699912011-546","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","13","Feine Sahne Fischfilet (D)","Mittwoch, 13. Dezember, 18:30","Halle 622, Zürich (CH)"
"1699912011-547","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","13","TEASE ME, PLEASE","Mittwoch, 13. Dezember, 19:00","Mascotte Club, Zürich (CH)"
"1699912011-548","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","13","QHL-Pink Ribbon Night: GC Amicitia vs. Kadetten Schaffhausen","Mittwoch, 13. Dezember, 19:00","Saalsporthalle, Zürich (CH)"
"1699912011-549","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","20","Das Kriminal Dinner","2 Events","Hotel Krone Unterstrass, Zürich (CH)"
"1699912011-550","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","13","Jazeek","Mittwoch, 13. Dezember, 19:00","Dynamo, Zürich (CH)"
"1699912011-551","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","13","13 DEC: Mike Casa Show @ SEIN Zurich","Mittwoch, 13. Dezember, 19:30","SEIN, Zürich (CH)"
"1699912011-552","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","13","Respect! Tribute to the Greatest Soul Divas","Mittwoch, 13. Dezember, 20:00","Theater Rigiblick, Zürich (CH)"
"1699912011-553","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","13","The Little Comedy Show At Byey's Cafe-Bar","Mittwoch, 13. Dezember, 20:00","Byey's Cafe & Bar, Zürich (CH)"
"1699912011-554","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","13 - 17","Ithir by Rigolo","5 Events","Kulturmarkt, Zürich (CH)"
"1699912011-555","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","20","Chico Bruno und Imaginary Friends","6 Events","Roxy Musikbar, Zürich (CH)"
"1699912011-556","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","13","Raw Performance","Mittwoch, 13. Dezember, 20:00","Miller's Studio, Zürich (CH)"
"1699912011-557","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","13","Ausverkauft: El Hotzo - Mindset","Mittwoch, 13. Dezember, 20:00","Volkshaus | Weisser Saal, Zürich (CH)"
"1699912011-558","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","26 - 22","Modern Times","3 Events","Filmpodium Kino, Zürich (CH)"
"1699912011-559","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","14 - 8","Kunst erzählen","3 Events","Kunsthaus Zürich, Zürich (CH)"
"1699912011-560","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","14","Care Crew Reports","Donnerstag, 14. Dezember, 14:00","Migros Museum für Gegenwartskunst, Zürich (CH)"
"1699912011-561","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","30 - 18","Auf den Spuren von Marc Chagall","3 Events","Kunsthaus Zürich, Zürich (CH)"
"1699912011-562","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","14 - 14","Laurent & Max","2 Events","Miller's Studio, Zürich (CH)"
"1699912011-563","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","14","Kunst-Stück: Niederländische Kunst","Donnerstag, 14. Dezember, 18:00","Kunsthaus Zürich, Zürich (CH)"
"1699912011-564","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","14","Les Oubliés de la Belle Étoile (Les Oubliés de la Belle Étoile)","Donnerstag, 14. Dezember, 18:15","Filmpodium Kino, Zürich (CH)"
