web-scraper-order,web-scraper-start-url,is_eventgruppe,day,name,full_date,location,link,link-href
"1699913746-354","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","7","Böse","Donnerstag, 07. Dezember, 20:00","Theater im Zollhaus, Zürich (CH)","Tickets
							
					
		

						
				Dez
				7
			
			
			
				Böse
									Donnerstag, 07. Dezember, 20:00
								Theater im Zollhaus, Zürich (CH)","https://eventfrog.ch/de/p/theater-buehne/theater/boese-7089171911536508896.html"
"1699913746-355","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","7 - 21","Such Good Friends (Such Good Friends)","2 Events","Filmpodium Kino, Zürich (CH)","Eventgruppe
				
					
		

							
					Dez - Dez
					7 - 21
				
			
			
				Such Good Friends (Such Good Friends)
									2 Events
								Filmpodium Kino, Zürich (CH)","https://eventfrog.ch/de/p/gruppen/such-good-friends-such-good-friends-7122775902300104010.html"
"1699913746-356","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","7","SILK - Thursday's Finest","Donnerstag, 07. Dezember, 22:00","Mascotte Club, Zürich (CH)","Tickets
							
					
		

						
				Dez
				7
			
			
			
				SILK - Thursday's Finest
									Donnerstag, 07. Dezember, 22:00
								Mascotte Club, Zürich (CH)","https://eventfrog.ch/de/p/party/hip-hop-rap/silk-thursday-s-finest-7123568490112327097.html"
"1699913746-357","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","8","Female Founders Coworking Morning","Freitag, 08. Dezember, 09:00","Impact Hub Colab, Zürich (CH)","Tickets
							
					
		

						
				Dez
				8
			
			
			
				Female Founders Coworking Morning
									Freitag, 08. Dezember, 09:00
								Impact Hub Colab, Zürich (CH)","https://eventfrog.ch/de/p/diverses/female-founders-coworking-morning-7125422898605421513.html"
"1699913746-358","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","8","Fachtagung Social Workers Understanding LGBTQ Youth","Freitag, 08. Dezember, 09:00","Dynamo Jugendkulturhaus, Zürich (CH)","Tickets
							
					
		

						
				Dez
				8
			
			
			
				Fachtagung Social Workers Understanding LGBTQ Youth
									Freitag, 08. Dezember, 09:00
								Dynamo Jugendkulturhaus, Zürich (CH)","https://eventfrog.ch/de/p/kurse-seminare/sonstige-kurse-seminare/fachtagung-social-workers-understanding-lgbtq-youth-7090643631556504643.html"
"1699913746-359","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","8","Weihnachtsgeschichten","Freitag, 08. Dezember, 11:30","Landesmuseum Zürich, Zürich (CH)","Dez
				8
			
			
			
				Weihnachtsgeschichten
									Freitag, 08. Dezember, 11:30
								Landesmuseum Zürich, Zürich (CH)","https://eventfrog.ch/de/p/diverses/weihnachtsgeschichten-7128950798029881862.html"
"1699913746-360","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","8","MedTalk with Alexion | AstraZeneca Rare Disease","Freitag, 08. Dezember, 12:15","ETH LFW Gebäude, Zürich (CH)","Dez
				8
			
			
			
				MedTalk with Alexion | AstraZeneca Rare Disease
									Freitag, 08. Dezember, 12:15
								ETH LFW Gebäude, Zürich (CH)","https://eventfrog.ch/de/p/fuehrungen-vortraege/vortrag/medtalk-with-alexion-astrazeneca-rare-disease-7115265844838393517.html"
"1699913746-361","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","24 - 22","Villa Kun(s)terbunt","3 Events","Kunsthaus Zürich, Zürich (CH)","Eventgruppe
				
					
		

							
					Nov - Dez
					24 - 22
				
			
			
				Villa Kun(s)terbunt
									3 Events
								Kunsthaus Zürich, Zürich (CH)","https://eventfrog.ch/de/p/gruppen/villa-kun-s-terbunt-7120961254043131270.html"
"1699913746-362","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","8 - 30","Tootsie (Tootsie)","2 Events","Filmpodium Kino, Zürich (CH)","Eventgruppe
				
					
		

							
					Dez - Dez
					8 - 30
				
			
			
				Tootsie (Tootsie)
									2 Events
								Filmpodium Kino, Zürich (CH)","https://eventfrog.ch/de/p/gruppen/tootsie-tootsie-7122775989910711013.html"
"1699913746-363","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","17 - 23","Sacred Dance Alchemy","12 Events","Radiant Heart Studio, Zürich (CH)","Tickets
							
							
					Eventgruppe
				
					
		

							
					Nov - Feb
					17 - 23
				
			
			
				Sacred Dance Alchemy
									12 Events
								Radiant Heart Studio, Zürich (CH)","https://eventfrog.ch/de/p/gruppen/sacred-dance-alchemy-7125144364443997774.html"
