web-scraper-order,web-scraper-start-url,link,link-href,name,is_eventgruppe,datetime,location
"1699914567-3879","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Dez
				19
			
			
			
				Chorvesper
									Dienstag, 19. Dezember, 18:30
								Johanneskirche, Zürich (CH)","https://eventfrog.ch/de/p/klassik-opern/klassik/chorvesper-7100084828507204489.html","Chorvesper","","Dienstag, 19. Dezember, 18:30","Johanneskirche, Zürich (CH)"
"1699914567-3880","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Dez
				19
			
			
			
				Mehnersmoos (D)
									Dienstag, 19. Dezember, 19:00
								Dynamo, Zürich (CH)","https://eventfrog.ch/de/p/konzert/hip-hop-rap/mehnersmoos-d-7129822216246507966.html","Mehnersmoos (D)","","Dienstag, 19. Dezember, 19:00","Dynamo, Zürich (CH)"
"1699914567-3881","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Tickets
							
							
					Eventgruppe
				
					
		

						
				bis Feb
				3
			
			
			
				Dienstag Ecstatic Dance mit DJ Kraftschatz and Friends
									5 Events
								DanceSquare22, Zürich (CH)","https://eventfrog.ch/de/p/gruppen/xtatic-7008828426246080234.html","Dienstag Ecstatic Dance mit DJ Kraftschatz and Friends","Eventgruppe","5 Events","DanceSquare22, Zürich (CH)"
"1699914567-3882","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Tickets
							
					
		

						
				Dez
				19
			
			
			
				Rauhnacht - 12 magische Nächte
									Dienstag, 19. Dezember, 19:00 – Freitag, 05. Januar, 20:30
								Online-Event","https://eventfrog.ch/de/p/gesundheit-spiritualitaet/spiritualitaet/rauhnacht-12-magische-naechte-7123709025988888322.html","Rauhnacht - 12 magische Nächte","","Dienstag, 19. Dezember, 19:00 – Freitag, 05. Januar, 20:30","Online-Event"
"1699914567-3883","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Tickets
							
					
		

						
				Dez
				19
			
			
			
				Single Bells!
									Dienstag, 19. Dezember, 19:00
								Lukaskirche Luzern, Luzern (CH)","https://eventfrog.ch/de/p/theater-buehne/buehnenveranstaltung/single-bells-7120212438922796024.html","Single Bells!","","Dienstag, 19. Dezember, 19:00","Lukaskirche Luzern, Luzern (CH)"
"1699914567-3884","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Dez
				19
			
			
			
				Club di lettura in italiano
									Dienstag, 19. Dezember, 19:00
								Stadtbibliothek Baden, Baden (CH)","https://eventfrog.ch/de/p/diverses/club-di-lettura-in-italiano-6998307911349760295.html","Club di lettura in italiano","","Dienstag, 19. Dezember, 19:00","Stadtbibliothek Baden, Baden (CH)"
"1699914567-3885","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Dez
				19
			
			
			
				Joan Faulkner Quartet feat. Harriet Lewis
									Dienstag, 19. Dezember, 19:30
								Marians Jazzroom, Bern (CH)","https://eventfrog.ch/de/p/konzert/jazz-blues/joan-faulkner-quartet-feat-harriet-lewis-7129844046927733342.html","Joan Faulkner Quartet feat. Harriet Lewis","","Dienstag, 19. Dezember, 19:30","Marians Jazzroom, Bern (CH)"
"1699914567-3886","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Dez
				19
			
			
			
				The Gospel People (USA)
									Dienstag, 19. Dezember, 19:30
								Häbse-Theater, Basel (CH)","https://eventfrog.ch/de/p/konzert/the-gospel-people-usa-7126191075807455155.html","The Gospel People (USA)","","Dienstag, 19. Dezember, 19:30","Häbse-Theater, Basel (CH)"
"1699914567-3887","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Eventgruppe
				
					
		

						
				bis Jan
				4
			
			
			
				MOLIÈRES AMPHITRYON
									6 Events
								Bühnen Bern - Vidmar 1, Liebefeld (CH)","https://eventfrog.ch/de/p/gruppen/molieres-amphitryon-7119982131753724279.html","MOLIÈRES AMPHITRYON","Eventgruppe","6 Events","Bühnen Bern - Vidmar 1, Liebefeld (CH)"
"1699914567-3888","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Dez
				19
			
			
			
				Schwanengesang
									Dienstag, 19. Dezember, 19:30
								Stadttheater Solothurn , Solothurn (CH)","https://eventfrog.ch/de/p/theater-buehne/theater/schwanengesang-7074035778729195378.html","Schwanengesang","","Dienstag, 19. Dezember, 19:30","Stadttheater Solothurn , Solothurn (CH)"
